seal	path	expected	actual	match
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/M1_source.txt	02be0133e8091734d547057061e5a260f8a4d362af2c7bdce52f54d13a3b98a1	02be0133e8091734d547057061e5a260f8a4d362af2c7bdce52f54d13a3b98a1	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/M1_analysis_ready.txt	fb32ca4f0f71aa173320453b6fd21ab5bd7fe101d061aa41204baa1c4f4e64ce	fb32ca4f0f71aa173320453b6fd21ab5bd7fe101d061aa41204baa1c4f4e64ce	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/compact_M1_source.txt	e96de995aaaabf52f7a099db1f3c19fb714763b84707ac74117907b5b76f533b	e96de995aaaabf52f7a099db1f3c19fb714763b84707ac74117907b5b76f533b	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/compact_M1_analysis_ready.txt	f517fb952ba152191db32e48c50ad6917dc3958a4cb72ce4929cc82119b33d96	f517fb952ba152191db32e48c50ad6917dc3958a4cb72ce4929cc82119b33d96	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/M3_primary_source.txt	79f681c90b2d81277fbec557f3796e01c9a578abeddd7d47f702022e6b8171f4	79f681c90b2d81277fbec557f3796e01c9a578abeddd7d47f702022e6b8171f4	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/M3_primary_analysis_ready.txt	49ff8951ac6d3df0bdc56d0f6b38fc5233555cf07426f6ce9c2d212744dd6da5	49ff8951ac6d3df0bdc56d0f6b38fc5233555cf07426f6ce9c2d212744dd6da5	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/m3_primary_edge_ledger.tsv	96d3dd9a84f354a5d3676ea60ab8680ac10444b88cfceb6306a685572e607347	96d3dd9a84f354a5d3676ea60ab8680ac10444b88cfceb6306a685572e607347	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/orphan_target_ledger.tsv	c439121673c4e0ea51cc777ca4b1668c0bfc89ac02ef4bc977d0637cd39e9352	c439121673c4e0ea51cc777ca4b1668c0bfc89ac02ef4bc977d0637cd39e9352	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/M3_sensitivity.txt	b67cbf62570f77c41a70e02bb2c94feec02a2f8debf9d114011f3150a575d69c	b67cbf62570f77c41a70e02bb2c94feec02a2f8debf9d114011f3150a575d69c	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/M4_covariate.txt	055c9feff14167e4edde07805750cfe79b54f918c6f81b9256e8b9a6a0dd7c98	055c9feff14167e4edde07805750cfe79b54f918c6f81b9256e8b9a6a0dd7c98	True
data/external/original-workspace/task028-freeze-b-draft/sealed_v3/SEAL_MANIFEST.sha256	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B1/B1_gene_level_ledger.tsv	64cd156b68e625991987d12958703ee64279656ee922ee9576a134fd926f3e7f	64cd156b68e625991987d12958703ee64279656ee922ee9576a134fd926f3e7f	True
